id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,overview,poster_path,backdrop_path,tmdb_url,week
798645,movie,The Running Man,2025-11-11,73.5503,7.189,74,en,Action; Thriller; Science Fiction,"Desperate to save his sick daughter, working-class Ben Richards is convinced by The Running Man's charming but ruthless producer to enter the deadly competition game as a last resort. But Ben's defiance, instincts, and grit turn him into an unexpected fan favorite - and a threat to the entire system. As ratings skyrocket, so does the danger, and Ben must outwit not just the Hunters, but a nation addicted to watching him fall.",/dKL78O9zxczVgjtNcQ9UkbYLzqX.jpg,/xv7KQ4YfYEZPwfyxGeteasTQENi.jpg,https://www.themoviedb.org/movie/798645,2025-11-17
221079,tv,The Last Frontier,2025-10-09,73.5,7.425,80,en,Crime; Drama,When a prison transport plane crashes in the remote Alaskan wilderness—freeing dozens of violent inmates—the region's lone marshal must protect the town he's vowed to keep safe.,/4S2gS1mECZ5wDRBVAZE6KWmJHI3.jpg,/zo66p6fzHOW8Zkqf6F63LwY1k7W.jpg,https://www.themoviedb.org/tv/221079,2025-11-17
272418,tv,Robin Hood,2025-11-02,69.9472,7.818,44,en,Drama; Action & Adventure,"A modern reimagining of the classic tale. After the Norman invasion of England, Rob, a Saxon forester’s son, and Marian, a Norman lord’s daughter, fall in love and unite to fight for justice, challenge corruption, and restore peace to the land.",/3teWChNzKJdbfen46IdeKTygdZa.jpg,/uoIOfRNmu47P2fET2KnrYHt3TH.jpg,https://www.themoviedb.org/tv/272418,2025-11-17
1401318,movie,A Merry Little Ex-Mas,2025-11-12,66.1708,6.698,48,en,Romance; Comedy,"All Kate and Everett want for Christmas is an amicable divorce and one last holiday as a family, but new flames and old feelings complicate their plans.",/w4ytu75uJ1b0AgPd0wLm7iZMsWJ.jpg,/2GHJGnF2jgnzeqT3XTHjHXgk5Fx.jpg,https://www.themoviedb.org/movie/1401318,2025-11-17
338969,movie,The Toxic Avenger Unrated,2025-08-28,64.342,6.232,197,en,Action; Comedy; Science Fiction,"When a downtrodden janitor, Winston Gooze, is exposed to a catastrophic toxic accident, he’s transformed into a new kind of hero: The Toxic Avenger. Now, Toxie must rise from outcast to savior, taking on ruthless corporate overlords and corrupt forces who threaten his son, his friends, and his community.",/sIonGSpGNtH72OzbJllPOEMNjVU.jpg,/pmDPp0RLfDCGzXKfMoAGbgfVECH.jpg,https://www.themoviedb.org/movie/338969,2025-11-17
1038392,movie,The Conjuring: Last Rites,2025-09-03,63.1912,6.998,1288,en,Horror,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,/7JzOmJ1fIU43I3gLHYsY8UzNzjG.jpg,/tcBX2dtkNozZ0uDLVaxXrE6rqyN.jpg,https://www.themoviedb.org/movie/1038392,2025-11-17
95479,tv,JUJUTSU KAISEN,2020-10-03,62.8214,8.6,4009,ja,Animation; Action & Adventure; Sci-Fi & Fantasy,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.",/fHpKWq9ayzSk8nSwqRuaAUemRKh.jpg,/gmECX1DvFgdUPjtio2zaL8BPYPu.jpg,https://www.themoviedb.org/tv/95479,2025-11-17
1234821,movie,Jurassic World Rebirth,2025-07-01,57.7943,6.382,2488,en,Science Fiction; Adventure; Action,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",/1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg,/fQOV47FHTJdaSuSUNlzP3zXUZWE.jpg,https://www.themoviedb.org/movie/1234821,2025-11-17
211089,tv,Strange Tales of Tang Dynasty,2022-09-27,56.4456,8.2,33,zh,Mystery; Crime; Drama; Action & Adventure,General Lu Lingfeng and Detective Su Wuming uncover supernatural mysteries and hidden conspiracies threatening the empire during Emperor Xuanzong’s reign.,/nyhBueT07zQS7wWLYFDNO8LdO3N.jpg,/8b5yXvmWSOl64Abk1wMYhzs4OnP.jpg,https://www.themoviedb.org/tv/211089,2025-11-17
967941,movie,Wicked: For Good,2025-11-17,55.8692,4.8,27,en,Romance; Fantasy; Adventure,"As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.",/si9tolnefLSUKaqQEGz1bWArOaL.jpg,/l8pwO23MCvqYumzozpxynCNfck1.jpg,https://www.themoviedb.org/movie/967941,2025-11-17
1061474,movie,Superman,2025-07-09,55.8201,7.415,3812,en,Science Fiction; Adventure; Action,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",/wPLysNDLffQLOVebZQCbXJEv6E6.jpg,/eGX66zonvc4bXg3rM08RUxdYSDx.jpg,https://www.themoviedb.org/movie/1061474,2025-11-17
281011,tv,Would You Marry Me?,2025-10-10,54.0864,7.6,23,ko,Comedy; Drama,"A couple who pretend to be newlyweds, find themselves developing genuine feelings for each other as they navigate their fake marriage.",/pfN6Ln8a6Xw23LQw0vL1YL8Kwqh.jpg,/lRWXYQGwL56Y1iCrXC5XxCKBz1V.jpg,https://www.themoviedb.org/tv/281011,2025-11-17
